User_Name,text,Sentiment
DanielWilson,I had a disappointing experience with the online ordering system. Frustrating and confusing.,0.0
AvaWilson,The product arrived on time  and I'm happy with the purchase. Satisfied.,2.0
MatthewBrown,The customer support was unhelpful and dismissive. Highly dissatisfied.,0.0
SophieGreen,The product has a stylish and modern design. Highly satisfied with the aesthetics.,2.0
AlexanderThomas,The product was missing essential components. Very disappointed with the purchase.,0.0
EmmaAdams,The software is intuitive and easy to use. Very satisfied with the user interface.,2.0
WilliamReed,The customer service provided exceptional assistance. Highly satisfied.,2.0
EthanMiller,The product surpassed my expectations. I'm extremely satisfied with my purchase.,2.0
AvaTurner,Terrible customer service experience. They were unresponsive and unfriendly.,0.0
LucasAnderson,The packaging arrived in poor condition  but the product was undamaged. Neutral experience.,1.0
MiaGonzalez,The user interface of the app needs improvement. It's confusing and unintuitive.,0.0
HenryStewart,The product's quality is exceptional. Highly recommended!,2.0
SophiaPhillips,I had an excellent experience with the customer support team. They were attentive and helpful.,2.0
DanielHill,The price is too high for the value provided. Dissatisfied with the cost.,0.0
EmilyCox,The product arrived late  causing inconvenience. Dissatisfied with the delivery service.,0.0
WilliamYoung,The software update introduced exciting new features. Very satisfied!,2.0
OliviaDavis,I'm neutral about the product. It neither impressed me nor disappointed me.,1.0
JamesSmith,The company's return policy is fair and hassle-free. Satisfied with the process.,2.0
SophieMitchell,The customer support provided prompt and reliable assistance. Very satisfied!,2.0
LucasWalker,The product's performance fell short of my expectations. Dissatisfied.,0.0
EllaClark,The design of the website is visually appealing and easy to navigate. Highly satisfied.,2.0
JacksonTurner,I had a frustrating experience with the checkout process. It was slow and prone to errors.,0.0
ChloeMoore,The product quality is average. Neither satisfied nor dissatisfied.,1.0
LiamRobinson,The delivery service was efficient and punctual. Very satisfied with the service.,2.0
MiaAdams,The customer service was unprofessional and unhelpful. Highly dissatisfied.,0.0
HenryCarter,The product is durable and long-lasting. Extremely satisfied with its durability.,2.0
